Enchantment list file
| ID  | name                                  | minLvl | maxLvl |
+-----+---------------------------------------+--------+--------+
| 0   | Protection I                          | 1      | 4      |
| 1   | Fire Protection I                     | 1      | 4      |
| 2   | Feather Falling I                     | 1      | 4      |
| 3   | Blast Protection I                    | 1      | 4      |
| 4   | Projectile Protection I               | 1      | 4      |
| 5   | Respiration I                         | 1      | 3      |
| 6   | Aqua Affinity I                       | 1      | 1      |
| 7   | Thorns I                              | 1      | 3      |
| 8   | Appealing I                           | 1      | 5      |
| 9   | Short Cast I                          | 1      | 5      |
| 16  | Sharpness I                           | 1      | 5      |
| 17  | Smite I                               | 1      | 5      |
| 18  | Bane of Arthropods I                  | 1      | 5      |
| 19  | Knockback I                           | 1      | 2      |
| 20  | Fire Aspect I                         | 1      | 2      |
| 21  | Looting I                             | 1      | 3      |
| 32  | Efficiency I                          | 1      | 5      |
| 33  | Silk Touch I                          | 1      | 1      |
| 34  | Unbreaking I                          | 1      | 3      |
| 35  | Fortune I                             | 1      | 3      |
| 48  | Power I                               | 1      | 5      |
| 49  | Punch I                               | 1      | 2      |
| 50  | Flame I                               | 1      | 1      |
| 51  | Infinity I                            | 1      | 1      |
| 52  | Magnetic I                            | 1      | 5      |
| 53  | Barbed Hook I                         | 1      | 5      |
| 54  | Long Cast I                           | 1      | 5      |
| 55  | Double Hook I                         | 1      | 5      |
| 56  | Heavy Line I                          | 1      | 5      |
| 61  | Luck of the Sea I                     | 1      | 3      |
| 62  | Lure I                                | 1      | 3      |
| 65  | Soul Stealer I                        | 1      | 5      |
| 66  | Fiery Core I                          | 1      | 4      |
| 67  | Porcivore I                           | 1      | 5      |
| 68  | Capitalist I                          | 1      | 1      |
| 69  | Consuming I                           | 1      | 1      |
| 70  | Educational I                         | 1      | 5      |
| 71  | Corrupting I                          | 1      | 1      |
| 72  | Eternal I                             | 1      | 1      |
| 75  | Blink I                               | 1      | 3      |
| 76  | Elemental Affinity I                  | 1      | 1      |
| 77  | Fall Resistance I                     | 1      | 4      |
| 78  | Superman I                            | 1      | 3      |
| 79  | Paraglide I                           | 1      | 2      |
| 80  | 1 Up I                                | 1      | 3      |
| 81  | Leapfrog I                            | 1      | 4      |
| 82  | Never Hungry I                        | 1      | 5      |
| 83  | Invisibility I                        | 1      | 1      |
| 84  | Restoration I                         | 1      | 3      |
| 85  | Resurrection I                        | 1      | 3      |
| 86  | Sonic the Hedgehog I                  | 1      | 5      |
| 87  | Spiderman I                           | 1      | 1      |
